the-wall-blue.html:30 -	time	id	type	x	y	below wall
the-wall-blue.html:156 -	1000	19	2	123.36318407960201	11.681592039801	false
the-wall-blue.html:156 -	1000	20	2	39.641791044776106	9.467661691542284	false
the-wall-blue.html:156 -	1000	21	2	112.94527363184086	27.4776119402985	false
the-wall-blue.html:156 -	1000	22	2	46.87128712871288	24.227722772277236	false
the-wall-blue.html:156 -	1000	23	2	143.80999999999995	32.60499999999998	false
the-wall-blue.html:156 -	1000	24	2	91.48768472906401	124.26108374384235	true
the-wall-blue.html:156 -	1000	25	2	55.35643564356437	56	false
the-wall-blue.html:156 -	1000	26	2	39.70297029702967	4.599009900990098	false
the-wall-blue.html:156 -	1000	27	2	62.772277227722775	18.277227722772274	false
the-wall-blue.html:156 -	1000	28	2	140.72139303482575	20.059701492537314	false
the-wall-blue.html:156 -	1000	29	2	135.83499999999995	63.69999999999998	false
the-wall-blue.html:156 -	1000	30	2	78.96039603960399	104.49009900990102	true
the-wall-blue.html:156 -	1000	31	2	80.8855721393035	95.69651741293531	true
the-wall-blue.html:156 -	1000	32	2	101.8855721393035	126.63681592039804	true
the-wall-blue.html:156 -	1000	33	2	32.34653465346536	18.65841584158416	false
the-wall-blue.html:156 -	1000	34	2	91.3465346534653	63.905940594059395	false
the-wall-blue.html:156 -	1000	35	2	140.42288557213925	40.93034825870647	false
the-wall-blue.html:156 -	1000	36	2	16.13930348258706	5.373134328358211	false
the-wall-blue.html:156 -	1000	37	2	130.37688442211055	54.33668341708541	false
the-wall-blue.html:156 -	1000	38	2	61.257425742574256	38.6831683168317	false
the-wall-blue.html:156 -	1000	39	2	97.51980198019807	42.554455445544555	false
the-wall-blue.html:156 -	1000	40	2	88.42079207920783	44.52475247524749	false
the-wall-blue.html:156 -	1000	41	2	102.25615763546794	56.91133004926109	false
the-wall-blue.html:156 -	1000	42	2	86.04455445544552	71.21782178217825	false
the-wall-blue.html:156 -	1000	43	2	73.07035175879399	43.99497487437187	false
the-wall-blue.html:156 -	1000	44	2	10.57711442786069	10.800995024875618	false
the-wall-blue.html:156 -	1000	45	2	36.143564356435654	138.57920792079207	true
the-wall-blue.html:156 -	1000	46	2	69.49261083743842	68.86699507389154	false
the-wall-blue.html:156 -	1000	47	2	139.91000000000003	10.700000000000005	false
the-wall-blue.html:156 -	1000	48	2	59.32019704433499	91.60098522167489	true
the-wall-blue.html:156 -	1000	49	2	77.26732673267328	81.00495049504951	true
the-wall-blue.html:156 -	1000	50	2	101.56716417910451	22.417910447761198	false
the-wall-blue.html:156 -	1000	51	2	50.87000000000001	37.015000000000015	false
the-wall-blue.html:156 -	1000	52	2	113.39603960396043	55.049504950495084	false
the-wall-blue.html:156 -	1000	53	2	91.07920792079207	10.772277227722775	false
the-wall-blue.html:156 -	1000	54	2	70.54950495049505	6.752475247524751	false
the-wall-blue.html:156 -	1000	55	2	82.19117647058819	12.691176470588243	false
