​ -	time	id	type	x	y
​ -	0	50	2	75	75
​ -	0	51	2	0.8	132
​ -	0	52	2	74	76
​ -	0	53	2	17	38
​ -	0	54	2	7	26
​ -	0	55	2	102	7
​ -	0	56	2	73	11
​ -	0	57	2	134.2	68
​ -	0	58	2	97	138
​ -	0	59	2	134.5	65.5
​ -	0	60	2	108	116
​ -	0	61	2	124.5	44.5
​ -	0	62	2	122.8	143.2
​ -	0	63	2	125	131
​ -	0	64	2	142.5	49.5
​ -	0	65	2	55	20
​ -	0	66	2	74	61
​ -	0	67	2	50	47
​ -	0	68	2	92	123
​ -	0	69	2	146.5	18
​ -	0	70	2	13.5	86.5
​ -	0	71	2	111	145
​ -	0	72	2	43	127.5
​ -	0	73	2	44	2
​ -	0	74	2	111.33333333333333	132
​ -	0	75	2	2	19
​ -	0	76	2	78.25	107.75
​ -	0	77	2	129.25	61
​ -	0	78	2	57.666666666666664	85.66666666666667
​ -	0	79	2	31	140
​ -	0	80	2	71	77
​ -	0	81	2	84.33333333333334	149.66666666666669
​ -	0	82	2	52.5	30.5
​ -	0	83	2	146	96
​ -	0	84	2	4.125	50
​ -	0	85	2	119	108
​ -	0	86	2	53	115
​ -	0	87	2	112	56
​ -	0	88	2	137	56
​ -	0	89	2	54.5	125.5
​ -	0	90	2	144	84
​ -	0	91	2	12.428571428571429	83.57142857142857
​ -	0	92	2	6	85
​ -	0	93	2	44.666666666666664	34
​ -	0	94	2	54.285714285714285	39.14285714285714
​ -	0	95	2	72.5	119
​ -	0	96	2	100	18
​ -	0	97	2	100.66666666666667	85.66666666666667
​ -	0	98	2	85	16
​ -	0	99	2	11.5	109.5
​ -	10	51	2	1.186440677966102	132.52542372881356
​ -	10	52	2	73.32432432432434	79.5135135135135
​ -	10	53	2	15.978947368421053	36.610526315789485
​ -	10	54	2	8.018867924528303	25.037735849056606
​ -	10	55	2	102.88034188034194	7.410256410256411
​ -	10	56	2	71.27536231884059	11.289855072463771
​ -	10	57	2	129.73333333333332	72.1809523809524
​ -	10	58	2	97.82758620689654	136.3103448275862
​ -	10	59	2	135.6601941747573	66.39805825242722
​ -	10	60	2	107.70303030303033	113.66060606060607
​ -	10	61	2	124.7153846153846	42.515384615384626
​ -	10	62	2	123.61702127659574	138.5531914893616
​ -	10	63	2	125.57333333333332	131.31999999999994
​ -	10	64	2	140.1304347826087	47.80434782608697
​ -	10	65	2	57.17142857142857	18.02857142857143
​ -	10	66	2	73.22435897435895	62.49358974358974
​ -	10	67	2	53.72727272727273	45.57575757575757
​ -	10	68	2	88.25471698113212	124.49056603773586
​ -	10	69	2	147.53968253968253	16.269841269841272
​ -	10	70	2	15.266666666666671	87.55555555555557
​ -	10	71	2	110.9157894736842	145.27368421052634
​ -	10	72	2	43.70634920634922	128.6904761904762
​ -	10	73	2	42.627450980392155	2.6470588235294112
​ -	10	74	2	110.7098765432099	132.7839506172839
​ -	10	75	2	0.7368421052631585	19.947368421052634
​ -	10	76	2	79.23026315789475	107.63815789473685
​ -	10	77	2	129.4257425742574	59.74257425742575
​ -	10	78	2	57.22772277227725	84.74257425742573
​ -	10	79	2	31.043956043956044	139.90109890109886
​ -	10	80	2	70	78.00000000000001
​ -	10	81	2	84.1382978723404	149.45212765957447
​ -	10	82	2	56.00840336134454	30.957983193277318
​ -	10	83	2	144.12499999999997	91.66666666666669
​ -	10	84	2	7.474452554744526	50.61313868613139
​ -	10	85	2	119.05454545454548	109.30909090909091
​ -	10	86	2	52.80645161290323	114.41935483870968
​ -	10	87	2	111.58139534883718	56.32558139534883
​ -	10	88	2	136.75362318840573	54.362318840579725
​ -	10	89	2	55.770833333333336	127.06250000000001
​ -	10	90	2	145	82.76666666666665
​ -	10	91	2	12.238636363636369	80.56818181818183
​ -	10	92	2	3.8505747126436796	83.96551724137935
​ -	10	93	2	44.709677419354854	35.19354838709678
​ -	10	94	2	57.657894736842096	40.20175438596491
​ -	10	95	2	71.6521739130435	116.04347826086956
​ -	10	96	2	100.9032258064516	17.06451612903226
​ -	10	97	2	99.73972602739725	85
​ -	10	98	2	83.95454545454545	14.511363636363637
​ -	10	99	2	12.601562499999996	111.74218749999994
​ -	20	51	2	2.0646766169154223	132.69651741293524
​ -	20	52	2	74.31250000000003	83.42613636363632
​ -	20	53	2	17.05555555555556	37.61111111111112
​ -	20	54	2	10.226315789473682	28.51052631578946
​ -	20	55	2	102.88832487309644	6.4263959390862935
​ -	20	56	2	69.74752475247524	11.772277227722775
​ -	20	57	2	127.42261904761902	76.17857142857144
​ -	20	58	2	98.1620111731844	134.68715083798878
​ -	20	59	2	136.65822784810126	67.1139240506329
​ -	20	60	2	106.49009900990096	112.04455445544552
​ -	20	61	2	123.70000000000002	39.015
​ -	20	62	2	124.18229166666669	138.1302083333333
​ -	20	63	2	129.72395833333331	128.64583333333323
​ -	20	64	2	138.64640883977899	43.97790055248619
​ -	20	65	2	58.14213197969542	16.27918781725888
​ -	20	66	2	72.79207920792079	62.569306930693095
​ -	20	67	2	54.71134020618555	47.005154639175245
​ -	20	68	2	86.6231155778895	123.39698492462314
​ -	20	69	2	144.9943820224719	12.522471910112362
​ -	20	70	2	16.735135135135128	88.35135135135134
​ -	20	71	2	111.2769230769231	147.56923076923078
​ -	20	72	2	41.99009900990098	129.2079207920791
​ -	20	73	2	41.33830845771141	3.7810945273631824
​ -	20	74	2	109.26804123711335	128.87628865979377
​ -	20	75	2	2.717948717948717	17.948717948717956
​ -	20	76	2	79.47263681592037	105.955223880597
​ -	20	77	2	124.91082802547773	60.41401273885352
​ -	20	78	2	55.74371859296483	85.74874371859298
​ -	20	79	2	30.743842364532014	139.33497536945814
​ -	20	80	2	66.70666666666666	76.86666666666662
​ -	20	81	2	84.37931034482759	148.10344827586206
​ -	20	82	2	55.55384615384613	30.646153846153833
​ -	20	83	2	143.05594405594405	89.54545454545456
​ -	20	84	2	8.124378109452733	51.09950248756216
​ -	20	85	2	118.55392156862746	110.49019607843137
​ -	20	86	2	53.368159203980106	111.71641791044777
​ -	20	87	2	110.49261083743842	56.99014778325123
​ -	20	88	2	133.71069182389937	54.61635220125787
​ -	20	89	2	54.964999999999996	128.68000000000006
​ -	20	90	2	143.32413793103447	81.17241379310349
​ -	20	91	2	13.625698324022343	76.00558659217873
​ -	20	92	2	6.624999999999999	85.28947368421052
​ -	20	93	2	39.78109452736321	34.094527363184085
​ -	20	94	2	63.4663212435233	39.10880829015544
​ -	20	95	2	70.07291666666667	115.59895833333333
​ -	20	96	2	102.4791666666667	16.28124999999999
​ -	20	97	2	98.8177339901477	84.89655172413796
​ -	20	98	2	84.00492610837443	15.241379310344827
​ -	20	99	2	12.999999999999998	112.24752475247529
​ -	30	51	2	1.8128078817733992	132.51231527093597
​ -	30	52	2	74.9108910891089	83.88118811881188
​ -	30	53	2	17.945544554455456	38.36138613861384
​ -	30	54	2	9.827586206896555	30.729064039408854
​ -	30	55	2	102.54455445544556	6.17821782178218
​ -	30	56	2	69.39108910891085	11.846534653465342
​ -	30	57	2	125.4285714285714	78.10344827586209
​ -	30	58	2	97.11330049261086	134.3349753694581
​ -	30	59	2	136.84653465346545	65.88118811881186
​ -	30	60	2	106.27586206896557	112.16748768472905
​ -	30	61	2	121.73762376237623	37.495049504950465
​ -	30	62	2	123.8423645320197	137.84729064039396
​ -	30	63	2	130.34653465346545	128.54950495049502
​ -	30	64	2	140.25	41.58499999999998
​ -	30	65	2	58.06403940886699	16.20197044334976
​ -	30	66	2	72.76732673267324	62.13861386138615
​ -	30	67	2	55.25615763546798	47.34482758620691
​ -	30	68	2	86.60591133004934	123.28571428571422
​ -	30	69	2	144.4851485148515	12.500000000000002
​ -	30	70	2	18.63861386138614	88.68811881188118
​ -	30	71	2	111.52709359605912	147.72413793103462
​ -	30	72	2	41.492610837438455	128.9901477832512
​ -	30	73	2	40.87128712871288	3.831683168316833
​ -	30	74	2	109.04455445544556	128.41089108910893
​ -	30	75	2	3.399014778325122	17.310344827586203
​ -	30	76	2	79.82178217821782	106.19306930693071
​ -	30	77	2	123.18811881188118	60.24752475247525
​ -	30	78	2	55.49999999999999	86.39603960396033
​ -	30	79	2	31.039603960396036	138.7326732673267
​ -	30	80	2	65.93564356435644	76.52475247524751
​ -	30	81	2	84.37931034482766	147.87684729064037
​ -	30	82	2	55.53465346534654	30.495049504950515
​ -	30	83	2	141.49261083743843	91.16748768472917
​ -	30	84	2	8.019801980198023	51.40099009900988
​ -	30	85	2	118.58910891089104	110.49999999999997
​ -	30	86	2	53.113300492610826	111.5911330049261
​ -	30	87	2	109.02955665024629	56.463054187192114
​ -	30	88	2	132.77227722772267	51.27227722772275
​ -	30	89	2	54.82178217821782	128.90594059405942
​ -	30	90	2	141.9009900990099	81.73267326732672
​ -	30	91	2	14.172413793103452	73.55665024630538
​ -	30	92	2	8.440000000000003	84.96000000000005
​ -	30	93	2	39.73399014778324	34.34482758620691
​ -	30	94	2	64.01980198019803	38.8019801980198
​ -	30	95	2	69.93564356435641	115.21287128712869
​ -	30	96	2	102.75369458128074	16.886699507389164
​ -	30	97	2	99.84236453201969	85.06896551724145
​ -	30	98	2	83.99504950495053	14.74257425742574
​ -	30	99	2	12.955445544554458	112.92079207920789
​ -	40	51	2	1.336633663366337	132.23267326732676
​ -	40	52	2	74.7722772277228	84.53960396039598
​ -	40	53	2	17.846534653465348	38.594059405940605
​ -	40	54	2	10.287128712871294	30.767326732673272
​ -	40	55	2	102.52475247524752	6.089108910891087
​ -	40	56	2	69.55940594059409	12.282178217821782
​ -	40	57	2	125.41293532338304	78.27860696517416
​ -	40	58	2	97.15346534653467	134.23267326732673
​ -	40	59	2	136.76732673267333	65.6930693069307
​ -	40	60	2	105.85221674876846	111.60591133004925
​ -	40	61	2	122.06896551724137	37.46798029556652
​ -	40	62	2	123.75621890547264	137.62189054726375
​ -	40	63	2	130.51741293532336	128.26865671641795
​ -	40	64	2	140.33497536945814	41.26108374384234
​ -	40	65	2	57.72906403940886	16.11330049261084
​ -	40	66	2	72.72772277227723	62.23267326732674
​ -	40	67	2	55.69801980198021	47.356435643564325
​ -	40	68	2	86.70792079207918	123.25247524752473
​ -	40	69	2	144.19900497512438	12.517412935323382
​ -	40	70	2	18.64356435643564	88.92079207920789
​ -	40	71	2	111.56930693069306	147.51980198019805
​ -	40	72	2	41.53960396039606	129.05445544554456
​ -	40	73	2	40.65346534653467	3.9009900990099
​ -	40	74	2	109.47290640394088	128.29064039408857
​ -	40	75	2	3.2574257425742563	16.930693069306933
​ -	40	76	2	80.39603960396042	106.48019801980196
​ -	40	77	2	123.38235294117644	60.426470588235304
​ -	40	78	2	55.851485148514875	86.27227722772275
​ -	40	79	2	31.514851485148505	138.72277227722773
​ -	40	80	2	65.64039408866992	76.54187192118223
​ -	40	81	2	84.33168316831684	147.93069306930698
​ -	40	82	2	55.44059405940593	30.524752475247542
​ -	40	83	2	141.273631840796	91.19402985074626
​ -	40	84	2	8.148514851485142	51.618811881188094
​ -	40	85	2	118.27586206896552	110.51724137931032
​ -	40	86	2	52.85148514851484	111.60891089108911
​ -	40	87	2	109.26237623762374	56.519801980198025
​ -	40	88	2	132.78712871287118	51.01485148514849
​ -	40	89	2	54.84653465346534	128.88613861386142
​ -	40	90	2	142.06930693069307	81.59405940594063
​ -	40	91	2	14.227722772277227	73.39603960396042
​ -	40	92	2	8.396039603960391	84.6831683168317
​ -	40	93	2	39.78325123152712	34.743842364532036
​ -	40	94	2	64.039603960396	38.60891089108911
​ -	40	95	2	69.76237623762378	114.99009900990097
​ -	40	96	2	102.74257425742572	16.806930693069305
​ -	40	97	2	100.20197044334978	85.28078817733987
​ -	40	98	2	84.24752475247524	14.445544554455445
​ -	40	99	2	12.985221674876849	114.26108374384236
​ -	50	51	2	0.6386138613861383	132.2722772277228
​ -	50	52	2	74.45049504950495	84.7079207920792
​ -	50	53	2	18.366336633663373	38.584158415841586
​ -	50	54	2	10.405940594059405	30.975247524752476
​ -	50	55	2	102.55223880597018	6.34328358208955
​ -	50	56	2	69.94581280788177	12.729064039408872
​ -	50	57	2	125.655	78.45
​ -	50	58	2	97.12871287128718	134.21782178217825
​ -	50	59	2	136.5247524752475	65.49999999999997
​ -	50	60	2	105.490099009901	111.13861386138615
​ -	50	61	2	122.42079207920794	37.33168316831682
​ -	50	62	2	123.8955223880597	137.56218905472622
​ -	50	63	2	130.80198019801978	128.1831683168317
​ -	50	64	2	140.11822660098522	40.9113300492611
​ -	50	65	2	57.3861386138614	15.955445544554456
​ -	50	66	2	72.55445544554455	61.99009900990096
​ -	50	67	2	56.07920792079208	47.51485148514851
​ -	50	68	2	86.83663366336634	123.2128712871287
​ -	50	69	2	143.94554455445544	12.524752475247524
​ -	50	70	2	18.64179104477612	89.26865671641795
​ -	50	71	2	111.45049504950495	147.2128712871286
​ -	50	72	2	41.46534653465346	129.079207920792
​ -	50	73	2	40.559405940594075	3.940594059405941
​ -	50	74	2	109.62871287128715	128.27227722772284
​ -	50	75	2	3.3118811881188126	16.915841584158407
​ -	50	76	2	81.18316831683174	106.71287128712878
​ -	50	77	2	123.40394088669956	60.645320197044356
​ -	50	78	2	56.08910891089108	86.34158415841588
​ -	50	79	2	31.767326732673265	138.77722772277227
​ -	50	80	2	65.2178217821782	76.48019801980196
​ -	50	81	2	84.49009900990099	147.98514851485143
​ -	50	82	2	55.37128712871286	30.529702970297016
​ -	50	83	2	141.0247524752475	91.31188118811883
​ -	50	84	2	8.034482758620694	51.81280788177338
​ -	50	85	2	117.88118811881182	110.93069306930694
​ -	50	86	2	52.6138613861386	111.85148514851477
​ -	50	87	2	109.15346534653462	56.8069306930693
​ -	50	88	2	132.81773399014781	50.729064039408854
​ -	50	89	2	54.791044776119406	129.08457711442782
​ -	50	90	2	141.8910891089109	81.65346534653466
​ -	50	91	2	14.2089552238806	73.31840796019897
​ -	50	92	2	8.351485148514849	84.31683168316826
​ -	50	93	2	39.821782178217816	34.826732673267315
​ -	50	94	2	64.16748768472905	38.28078817733991
​ -	50	95	2	69.43069306930691	114.95049504950494
​ -	50	96	2	102.29207920792079	16.72277227722771
​ -	50	97	2	100.1534653465347	85.39108910891089
​ -	50	98	2	84.76237623762376	13.935643564356427
​ -	50	99	2	13.262376237623767	115.59900990099008
​ -	60	51	2	0.0746268656716418	132.4328358208955
​ -	60	52	2	74.73267326732672	84.59900990099011
​ -	60	53	2	18.48756218905472	38.58208955223881
​ -	60	54	2	10.261083743842365	31.083743842364544
​ -	60	55	2	102.71287128712869	6.5990099009900955
​ -	60	56	2	70.1089108910891	13.173267326732672
​ -	60	57	2	125.655	78.45
​ -	60	58	2	97.2189054726368	134.0945273631841
​ -	60	59	2	136.33168316831683	65.36633663366335
​ -	60	60	2	105.14778325123149	110.65024630541873
​ -	60	61	2	122.8029556650247	37.36453201970445
​ -	60	62	2	123.91044776119404	137.41293532338295
​ -	60	63	2	130.92574257425744	127.63366336633669
​ -	60	64	2	139.93069306930693	40.74257425742574
​ -	60	65	2	57.361386138613874	15.915841584158416
​ -	60	66	2	71.74626865671644	61.62686567164181
​ -	60	67	2	56.92118226600986	47.556650246305445
​ -	60	68	2	86.79802955665025	123.13793103448278
​ -	60	69	2	143.92039800995025	12.601990049751251
​ -	60	70	2	18.579999999999995	89.50999999999996
​ -	60	71	2	111.37623762376244	147.13861386138606
​ -	60	72	2	41.59405940594058	129.06930693069305
​ -	60	73	2	40.202970297029715	4.212871287128713
​ -	60	74	2	109.80693069306926	128.30198019801983
​ -	60	75	2	3.2288557213930353	16.756218905472632
​ -	60	76	2	81.40099009900986	106.74752475247527
​ -	60	77	2	123.59113300492608	60.80295566502463
​ -	60	78	2	56.33168316831682	86.14356435643566
​ -	60	79	2	32.21182266009853	138.38916256157637
​ -	60	80	2	64.91584158415843	76.26732673267323
​ -	60	81	2	84.5742574257426	147.8118811881188
​ -	60	82	2	55.08910891089109	30.732673267326746
​ -	60	83	2	140.93034825870646	91.39303482587066
​ -	60	84	2	8.168316831683171	51.6930693069307
​ -	60	85	2	117.12871287128712	111.33168316831686
​ -	60	86	2	52.2772277227723	111.940594059406
​ -	60	87	2	109.40099009900987	57.27722772277227
​ -	60	88	2	132.77114427860698	50.28855721393037
​ -	60	89	2	54.60891089108908	129.3910891089109
​ -	60	90	2	141.8217821782178	81.65346534653462
​ -	60	91	2	14.168316831683171	73.20297029702967
​ -	60	92	2	8.277227722772276	84.13366336633658
​ -	60	93	2	40.004950495049506	35.282178217821766
​ -	60	94	2	64.22167487684732	37.960591133004954
​ -	60	95	2	69.52238805970153	114.77114427860698
​ -	60	96	2	102.1791044776119	16.721393034825873
​ -	60	97	2	101.20792079207921	85.43564356435645
​ -	60	98	2	84.97524752475246	13.688118811881193
​ -	60	99	2	13.82178217821782	116.52475247524752
​ -	70	51	2	148.69306930693068	132.2227722772278
​ -	70	52	2	74.49009900990099	84.58415841584164
​ -	70	53	2	19.287128712871297	38.386138613861384
​ -	70	54	2	10.373134328358203	31.149253731343283
​ -	70	55	2	102.70646766169153	6.761194029850749
​ -	70	56	2	70.42786069651741	14.119402985074625
​ -	70	57	2	125.655	78.45
​ -	70	58	2	97.30198019801982	133.51485148514837
​ -	70	59	2	135.7058823529412	65.23529411764704
​ -	70	60	2	104.43781094527363	109.73631840796017
​ -	70	61	2	123.09900990099018	37.33168316831683
​ -	70	62	2	123.75742574257427	136.94059405940584
​ -	70	63	2	131.83663366336623	128.04950495049508
​ -	70	64	2	139.8861386138614	39.77227722772278
​ -	70	65	2	56.45049504950494	15.806930693069308
​ -	70	66	2	70.55665024630541	61.30541871921182
​ -	70	67	2	57.54950495049505	47.30198019801981
​ -	70	68	2	86.82587064676616	123.26368159203984
​ -	70	69	2	143.92039800995025	12.611940298507465
​ -	70	70	2	18.721393034825873	89.39800995024876
​ -	70	71	2	111.14285714285718	146.58128078817734
​ -	70	72	2	41.582089552238806	128.75124378109462
​ -	70	73	2	39.89552238805969	4.383084577114545
​ -	70	74	2	110.00990099009896	127.8910891089109
​ -	70	75	2	3.4009900990099013	16.88613861386139
​ -	70	76	2	82.11386138613861	107.03465346534655
​ -	70	77	2	123.6930693069307	60.712871287128706
​ -	70	78	2	56.59405940594058	86.29207920792079
​ -	70	79	2	32.475247524752476	138.44554455445547
​ -	70	80	2	64.34653465346535	75.9999999999999
​ -	70	81	2	84.65024630541878	147.4532019704434
​ -	70	82	2	54.59	30.92
​ -	70	83	2	140.63366336633663	91.47029702970295
​ -	70	84	2	8.678217821782182	51.475247524752476
​ -	70	85	2	116.43564356435648	111.36138613861388
​ -	70	86	2	51.328358208955194	112.22885572139306
​ -	70	87	2	109.66666666666667	58.34825870646766
​ -	70	88	2	133.0643564356436	49.62376237623766
​ -	70	89	2	54.14427860696519	130.02985074626858
​ -	70	90	2	141.86567164179104	81.61691542288554
