50-cells.html:30 -	time	id	type	x	y
50-cells.html:128 -	20	5	1	8.435643564356436	30.326732673267326
50-cells.html:128 -	20	6	1	100.58208955223878	5.990049751243777
50-cells.html:128 -	20	7	1	72.08415841584151	12.29207920792079
50-cells.html:128 -	20	8	1	139.0985221674877	74.57142857142861
50-cells.html:128 -	20	9	1	98.07425742574263	136.861386138614
50-cells.html:128 -	20	10	1	133.41500000000005	67.39999999999999
50-cells.html:128 -	20	11	1	106.72772277227718	115.39603960396045
50-cells.html:128 -	20	12	1	123.74257425742576	43.4108910891089
50-cells.html:128 -	20	13	1	125.83663366336633	142.48514851485152
50-cells.html:128 -	20	14	1	126.50495049504953	129.14356435643566
50-cells.html:128 -	20	15	1	145.71782178217822	44.37128712871288
50-cells.html:128 -	20	16	1	58.39108910891087	18.613861386138606
50-cells.html:128 -	20	17	1	73.96517412935323	58.58706467661693
50-cells.html:128 -	20	18	1	47.89603960396041	50.04455445544554
50-cells.html:128 -	20	19	1	92.44554455445548	123.48019801980195
50-cells.html:128 -	20	20	1	143.43564356435644	18.658415841584162
50-cells.html:128 -	20	21	1	23.36138613861387	86.8960396039604
50-cells.html:128 -	20	22	1	111.55172413793107	145.79310344827584
50-cells.html:128 -	20	23	1	42.472636815920374	128.82587064676622
50-cells.html:128 -	20	24	1	43.15346534653465	3.5198019801980185
50-cells.html:128 -	20	25	1	111.6633663366337	130.3960396039604
50-cells.html:128 -	20	26	1	4.860696517412937	15.56218905472637
50-cells.html:128 -	20	27	1	78.97512437810948	110.17412935323384
50-cells.html:128 -	20	28	1	126.73891625615757	59.738916256157644
50-cells.html:128 -	20	29	1	57.14778325123151	84.45812807881771
50-cells.html:128 -	20	30	1	30.278606965174145	140.4676616915424
50-cells.html:128 -	20	31	1	65.40796019900498	79.8009950248756
50-cells.html:128 -	20	32	1	83.94029850746269	149.6119402985075
50-cells.html:128 -	20	33	1	54.84653465346538	29.960396039603957
50-cells.html:128 -	20	34	1	148.12935323383084	99.14427860696519
