50-sparse-2.html:30 -	time	id	type	x	y
50-sparse-2.html:128 -	0	1	1	74.66666666666667	74.33333333333334
50-sparse-2.html:128 -	0	2	1	1.3333333333333333	132.66666666666666
50-sparse-2.html:128 -	0	3	1	74	76
50-sparse-2.html:128 -	0	4	1	17.5	37.5
50-sparse-2.html:128 -	0	5	1	7	26.5
50-sparse-2.html:128 -	0	6	1	102	7
50-sparse-2.html:128 -	0	7	1	72.5	11.5
50-sparse-2.html:128 -	0	8	1	134	68.5
50-sparse-2.html:128 -	0	9	1	98	138
50-sparse-2.html:128 -	0	10	1	134.33333333333334	66
50-sparse-2.html:128 -	0	11	1	108.5	116.5
50-sparse-2.html:128 -	0	12	1	123.5	44.5
50-sparse-2.html:128 -	0	13	1	124	143.5
50-sparse-2.html:128 -	0	14	1	126	130.85714285714286
50-sparse-2.html:128 -	0	15	1	144	48.5
50-sparse-2.html:128 -	0	16	1	55	20
50-sparse-2.html:128 -	0	17	1	74	60.666666666666664
50-sparse-2.html:128 -	0	18	1	50	47
50-sparse-2.html:128 -	0	19	1	92	123
50-sparse-2.html:128 -	0	20	1	146	18
50-sparse-2.html:128 -	0	21	1	14.5	87
50-sparse-2.html:128 -	0	22	1	111.33333333333333	145.33333333333334
50-sparse-2.html:128 -	0	23	1	43	128
50-sparse-2.html:128 -	0	24	1	44	2
50-sparse-2.html:128 -	0	25	1	111.66666666666667	131.33333333333334
50-sparse-2.html:128 -	0	26	1	2	18.5
50-sparse-2.html:128 -	0	27	1	77.5	108
50-sparse-2.html:128 -	0	28	1	128.6	60.8
50-sparse-2.html:128 -	0	29	1	58.5	85.5
50-sparse-2.html:128 -	0	30	1	30.666666666666668	140
50-sparse-2.html:128 -	0	31	1	71	77
50-sparse-2.html:128 -	0	32	1	84.33333333333333	0
50-sparse-2.html:128 -	0	33	1	52	30
50-sparse-2.html:128 -	0	34	1	147	95
50-sparse-2.html:128 -	0	35	1	6.8	50.2
50-sparse-2.html:128 -	0	36	1	118.5	107.5
50-sparse-2.html:128 -	0	37	1	53	114.5
50-sparse-2.html:128 -	0	38	1	111.5	56
50-sparse-2.html:128 -	0	39	1	136.66666666666669	55.66666666666667
50-sparse-2.html:128 -	0	40	1	54.8	125.6
50-sparse-2.html:128 -	0	41	1	144.5	84.5
50-sparse-2.html:128 -	0	42	1	12.5	84
50-sparse-2.html:128 -	0	43	1	5.666666666666667	84.66666666666667
50-sparse-2.html:128 -	0	44	1	45.166666666666664	33.33333333333333
50-sparse-2.html:128 -	0	45	1	53.5	39
50-sparse-2.html:128 -	0	46	1	71.6	119.6
50-sparse-2.html:128 -	0	47	1	100	18
50-sparse-2.html:128 -	0	48	1	100.33333333333333	85.66666666666667
50-sparse-2.html:128 -	0	49	1	83	15.714285714285714
50-sparse-2.html:128 -	0	50	1	12	110
50-sparse-2.html:128 -	10	1	1	76.88000000000001	73.61333333333334
50-sparse-2.html:128 -	10	2	1	3.036764705882354	132.0220588235293
50-sparse-2.html:128 -	10	3	1	74.93055555555553	76.43055555555557
50-sparse-2.html:128 -	10	4	1	18.10948905109488	37.08029197080293
50-sparse-2.html:128 -	10	5	1	8.625	27.53676470588236
50-sparse-2.html:128 -	10	6	1	101.02884615384619	5.2019230769230775
50-sparse-2.html:128 -	10	7	1	72.84955752212389	13.327433628318584
50-sparse-2.html:128 -	10	8	1	136.86734693877557	72.68367346938774
50-sparse-2.html:128 -	10	9	1	98.30327868852461	137.1065573770492
50-sparse-2.html:128 -	10	10	1	134.28749999999997	65.04999999999998
50-sparse-2.html:128 -	10	11	1	108.22131147540988	115.59016393442623
50-sparse-2.html:128 -	10	12	1	123.93478260869567	43.3695652173913
50-sparse-2.html:128 -	10	13	1	125.57251908396952	142.22137404580155
50-sparse-2.html:128 -	10	14	1	126.27049180327863	131.35245901639357
50-sparse-2.html:128 -	10	15	1	143.20967741935485	48.35483870967743
50-sparse-2.html:128 -	10	16	1	55.82113821138211	19.447154471544707
50-sparse-2.html:128 -	10	17	1	74.49999999999997	60.62658227848103
50-sparse-2.html:128 -	10	18	1	49.18348623853209	46.48623853211008
50-sparse-2.html:128 -	10	19	1	92.03571428571428	123.76785714285711
50-sparse-2.html:128 -	10	20	1	144.67741935483872	17.344086021505372
50-sparse-2.html:128 -	10	21	1	17.205882352941178	86.57843137254899
50-sparse-2.html:128 -	10	22	1	110.91891891891889	145.2094594594595
50-sparse-2.html:128 -	10	23	1	44.56363636363635	127.94545454545465
50-sparse-2.html:128 -	10	24	1	42.15602836879433	2.9290780141844266
50-sparse-2.html:128 -	10	25	1	111.32926829268297	131.17073170731695
50-sparse-2.html:128 -	10	26	1	2.4999999999999996	17.542553191489358
50-sparse-2.html:128 -	10	27	1	78.03092783505154	106.89690721649484
50-sparse-2.html:128 -	10	28	1	128.25	60.92499999999999
50-sparse-2.html:128 -	10	29	1	60.0743243243243	82.75
50-sparse-2.html:128 -	10	30	1	30.481751824817515	139.8467153284671
50-sparse-2.html:128 -	10	31	1	69.09859154929575	78.71830985915494
50-sparse-2.html:128 -	10	32	1	83.91935483870972	0.032258064516128115
50-sparse-2.html:128 -	10	33	1	52.34905660377359	29.707547169811313
50-sparse-2.html:128 -	10	34	1	147.92857142857142	95.86309523809523
50-sparse-2.html:128 -	10	35	1	7.493421052631579	49.651315789473706
50-sparse-2.html:128 -	10	36	1	118.46153846153847	106.56410256410255
50-sparse-2.html:128 -	10	37	1	55.000000000000036	115.31858407079646
50-sparse-2.html:128 -	10	38	1	110.76106194690267	58.1858407079646
50-sparse-2.html:128 -	10	39	1	137.6296296296296	54.86111111111111
50-sparse-2.html:128 -	10	40	1	55.34	125.99999999999999
50-sparse-2.html:128 -	10	41	1	143.90151515151496	83.16666666666669
50-sparse-2.html:128 -	10	42	1	11.429999999999996	82.09000000000002
50-sparse-2.html:128 -	10	43	1	3.766355140186916	81.67289719626172
50-sparse-2.html:128 -	10	44	1	43.768518518518526	35.22222222222222
50-sparse-2.html:128 -	10	45	1	55.952830188679236	39.86792452830187
50-sparse-2.html:128 -	10	46	1	70.94472361809046	118.26130653266333
50-sparse-2.html:128 -	10	47	1	99.84684684684686	18.576576576576585
50-sparse-2.html:128 -	10	48	1	97.58288770053473	87.72727272727273
50-sparse-2.html:128 -	10	49	1	83.30578512396693	15.884297520661157
50-sparse-2.html:128 -	10	50	1	10.22222222222222	109.77777777777777
50-sparse-2.html:128 -	20	1	1	79.26368159203982	71.76119402985076
50-sparse-2.html:128 -	20	2	1	2.0742574257425743	131.40594059405944
50-sparse-2.html:128 -	20	3	1	76.04522613065326	75.24623115577886
50-sparse-2.html:128 -	20	4	1	19.36945812807882	37.773399014778335
50-sparse-2.html:128 -	20	5	1	9.497536945812817	29.709359605911327
50-sparse-2.html:128 -	20	6	1	100.56650246305415	5.384236453201968
50-sparse-2.html:128 -	20	7	1	72.3743842364532	12.492610837438425
50-sparse-2.html:128 -	20	8	1	137.55392156862752	74.66176470588232
50-sparse-2.html:128 -	20	9	1	98.64356435643569	137.1980198019801
50-sparse-2.html:128 -	20	10	1	134.96534653465343	66.00990099009901
50-sparse-2.html:128 -	20	11	1	108.12871287128712	115.43564356435641
50-sparse-2.html:128 -	20	12	1	124.38916256157638	43.655172413793096
50-sparse-2.html:128 -	20	13	1	126.57635467980295	143.6009852216748
50-sparse-2.html:128 -	20	14	1	127.08866995073893	130.72413793103442
50-sparse-2.html:128 -	20	15	1	143.7832512315271	46.49753694581283
50-sparse-2.html:128 -	20	16	1	55.27093596059112	15.916256157635464
50-sparse-2.html:128 -	20	17	1	72.89108910891092	58.36633663366336
50-sparse-2.html:128 -	20	18	1	48.49009900990098	49.22772277227723
50-sparse-2.html:128 -	20	19	1	92.47524752475245	124.20297029702972
50-sparse-2.html:128 -	20	20	1	143.00985221674875	17.20197044334976
50-sparse-2.html:128 -	20	21	1	18.711442786069643	88.37313432835822
50-sparse-2.html:128 -	20	22	1	111.6305418719212	145.36945812807883
50-sparse-2.html:128 -	20	23	1	42.81188118811883	128.09405940594053
50-sparse-2.html:128 -	20	24	1	42.137931034482776	2.896551724137879
