the-wall-v2-black.html:30 -	time	id	type	x	y	below wall
the-wall-v2-black.html:158 -	1000	20	2	12.194029850746272	31.01990049751245	false
the-wall-v2-black.html:158 -	1000	21	2	59.559999999999995	5.525000000000002	false
the-wall-v2-black.html:158 -	1000	22	2	16.278606965174134	61.50746268656719	false
the-wall-v2-black.html:158 -	1000	23	2	105.74257425742576	47.34158415841582	false
the-wall-v2-black.html:158 -	1000	24	2	5.407960199004974	10.149253731343281	false
the-wall-v2-black.html:158 -	1000	25	2	46.82587064676618	51.63681592039799	false
the-wall-v2-black.html:158 -	1000	26	2	107.90049751243777	4.004975124378106	false
the-wall-v2-black.html:158 -	1000	27	2	98.24378109452739	56.572139303482594	false
the-wall-v2-black.html:158 -	1000	28	2	140.7899999999999	7.980000000000005	false
the-wall-v2-black.html:158 -	1000	29	2	84.85074626865675	16.696517412935325	false
the-wall-v2-black.html:158 -	1000	30	2	21.915422885572138	38.194029850746276	false
the-wall-v2-black.html:158 -	1000	31	2	79.53233830845767	63.22885572139303	false
the-wall-v2-black.html:158 -	1000	32	2	92.58208955223877	6.611940298507463	false
the-wall-v2-black.html:158 -	1000	33	2	118.2885572139303	25.895522388059693	false
the-wall-v2-black.html:158 -	1000	34	2	76.92039800995025	29.88557213930349	false
the-wall-v2-black.html:158 -	1000	35	2	28.64851485148516	45.663366336633686	false
the-wall-v2-black.html:158 -	1000	36	2	61.55721393034826	73.90049751243777	false
the-wall-v2-black.html:158 -	1000	37	2	145.34158415841577	58.93564356435645	false
the-wall-v2-black.html:158 -	1000	38	2	123.30348258706472	48.07462686567165	false
the-wall-v2-black.html:158 -	1000	39	2	75.37810945273628	7.651741293532344	false
the-wall-v2-black.html:158 -	1000	40	2	7.532338308457712	54.75621890547263	false
the-wall-v2-black.html:158 -	1000	41	2	25.427860696517403	16.32835820895524	false
the-wall-v2-black.html:158 -	1000	42	2	131.57711442786075	20.213930348258707	false
the-wall-v2-black.html:158 -	1000	43	2	44.54726368159205	65.71144278606961	false
the-wall-v2-black.html:158 -	1000	44	2	120.24378109452738	10.258706467661694	false
the-wall-v2-black.html:158 -	1000	45	2	42.80000000000002	40.74999999999998	false
the-wall-v2-black.html:158 -	1000	46	2	106.77611940298509	19.402985074626862	false
the-wall-v2-black.html:158 -	1000	47	2	116.10945273631845	59.82089552238806	false
the-wall-v2-black.html:158 -	1000	48	2	10.223880597014924	22.11442786069652	false
the-wall-v2-black.html:158 -	1000	49	2	95.80099502487565	24.273631840796025	false
the-wall-v2-black.html:158 -	1000	50	2	130.89552238805973	34.90547263681592	false
the-wall-v2-black.html:158 -	1000	51	2	143.5099009900989	29.98514851485149	false
the-wall-v2-black.html:158 -	1000	52	2	34.600000000000016	27.344999999999974	false
the-wall-v2-black.html:158 -	1000	53	2	138.095	9.655000000000001	false
the-wall-v2-black.html:158 -	1000	54	2	78.1890547263682	54.28358208955223	false
the-wall-v2-black.html:158 -	1000	55	2	41.24875621890549	3.8208955223880605	false
the-wall-v2-black.html:158 -	1000	56	2	67.8805970149254	24.8358208955224	false
the-wall-v2-black.html:158 -	1000	57	2	112.86633663366334	37.14851485148515	false
the-wall-v2-black.html:158 -	1000	58	2	47.21393034825873	24.238805970149258	false
the-wall-v2-black.html:158 -	1000	59	2	56.8308457711443	34.86069651741292	false
the-wall-v2-black.html:158 -	1000	60	2	59.474999999999994	16.53000000000001	false
the-wall-v2-black.html:158 -	1000	61	2	94.8557213930348	39.875621890547244	false
the-wall-v2-black.html:158 -	1000	62	2	63.63184079601991	47.66666666666668	false
the-wall-v2-black.html:158 -	1000	63	2	36.880000000000024	10.260000000000003	false
the-wall-v2-black.html:158 -	1000	64	2	130.67164179104475	60.49253731343285	false
the-wall-v2-black.html:158 -	1000	65	2	13.909999999999991	6.964999999999999	false
the-wall-v2-black.html:158 -	1000	66	2	7.7462686567164205	43.09950248756217	false
the-wall-v2-black.html:158 -	1000	67	2	139.85074626865676	46.40298507462686	false
the-wall-v2-black.html:158 -	1000	68	2	83.2985074626866	39	false
the-wall-v2-black.html:158 -	1000	69	2	58.725	60.48000000000003	false
the-wall-v2-black.html:158 -	1000	20	2	89.67661691542284	24.03482587064676	false
