obstacle-50-dense-2.html:30 -	time	id	type	x	y
obstacle-50-dense-2.html:131 -	10	133	2	55.72500000000001	27.175
obstacle-50-dense-2.html:131 -	10	134	2	143.28571428571428	90.97619047619048
obstacle-50-dense-2.html:131 -	10	135	2	6.229729729729732	52.00000000000002
obstacle-50-dense-2.html:131 -	10	136	2	120.3407407407407	105.3259259259259
obstacle-50-dense-2.html:131 -	10	137	2	55.99999999999999	115.34883720930235
obstacle-50-dense-2.html:131 -	10	138	2	109.68085106382978	56.893617021276604
obstacle-50-dense-2.html:131 -	10	139	2	137.66666666666669	55.035087719298254
obstacle-50-dense-2.html:131 -	10	140	2	55.30434782608696	127.79710144927539
obstacle-50-dense-2.html:131 -	10	141	2	146.6904761904762	88.52380952380955
obstacle-50-dense-2.html:131 -	10	142	2	11.911111111111111	83.24444444444444
obstacle-50-dense-2.html:131 -	10	143	2	6.6999999999999975	85.41428571428571
obstacle-50-dense-2.html:131 -	10	144	2	42.4054054054054	32.13513513513514
obstacle-50-dense-2.html:131 -	10	145	2	55.51219512195121	39.47560975609755
obstacle-50-dense-2.html:131 -	10	146	2	73.65254237288136	119.27118644067795
obstacle-50-dense-2.html:131 -	10	147	2	102.87755102040816	21.530612244897963
obstacle-50-dense-2.html:131 -	10	148	2	100.15384615384616	88.3076923076923
obstacle-50-dense-2.html:131 -	10	149	2	85.46666666666667	16.133333333333336
obstacle-50-dense-2.html:131 -	10	150	2	12.867346938775508	108.1530612244898
obstacle-50-dense-2.html:131 -	20	101	2	78.84042553191486	71.79787234042557
obstacle-50-dense-2.html:131 -	20	102	2	149.47692307692307	135.58461538461546
obstacle-50-dense-2.html:131 -	20	103	2	73.16842105263156	74.61052631578943
obstacle-50-dense-2.html:131 -	20	104	2	21.76410256410257	40.400000000000006
obstacle-50-dense-2.html:131 -	20	105	2	10.128205128205128	29.03846153846154
obstacle-50-dense-2.html:131 -	20	106	2	102.85106382978725	8.666666666666664
obstacle-50-dense-2.html:131 -	20	107	2	69.9230769230769	8.682051282051281
obstacle-50-dense-2.html:131 -	20	108	2	136.65137614678903	73.90825688073394
obstacle-50-dense-2.html:131 -	20	109	2	90.22023809523813	136.16666666666657
obstacle-50-dense-2.html:131 -	20	110	2	133.49504950495057	64.3861386138614
obstacle-50-dense-2.html:131 -	20	111	2	107.58461538461533	118.1179487179487
obstacle-50-dense-2.html:131 -	20	112	2	122.62626262626259	42.237373737373744
obstacle-50-dense-2.html:131 -	20	113	2	122.3309352517986	142.97841726618708
obstacle-50-dense-2.html:131 -	20	114	2	125.02702702702705	125.87567567567567
obstacle-50-dense-2.html:131 -	20	115	2	142.2450980392157	51.50980392156862
obstacle-50-dense-2.html:131 -	20	116	2	54.04678362573098	15.760233918128657
obstacle-50-dense-2.html:131 -	20	117	2	71.46000000000004	57.31499999999999
obstacle-50-dense-2.html:131 -	20	118	2	44.6358695652174	47.21739130434779
obstacle-50-dense-2.html:131 -	20	119	2	90.63636363636365	120.53475935828877
obstacle-50-dense-2.html:131 -	20	121	2	13.31372549019608	91.16666666666664
obstacle-50-dense-2.html:131 -	20	122	2	106.72388059701491	142.0149253731343
obstacle-50-dense-2.html:131 -	20	123	2	40.46039603960398	125.88118811881186
obstacle-50-dense-2.html:131 -	20	124	2	41.61170212765957	0.13297872340424988
obstacle-50-dense-2.html:131 -	20	125	2	109.14893617021276	132.8794326241134
obstacle-50-dense-2.html:131 -	20	126	2	1.7749999999999988	24.45
obstacle-50-dense-2.html:131 -	20	127	2	77.63874345549739	106.63350785340309
obstacle-50-dense-2.html:131 -	20	128	2	122.30894308943091	56.98373983739836
obstacle-50-dense-2.html:131 -	20	129	2	57.81683168316832	87.40594059405944
obstacle-50-dense-2.html:131 -	20	130	2	26.691542288557226	136.30348258706454
obstacle-50-dense-2.html:131 -	20	131	2	70.58585858585857	82.69696969696967
obstacle-50-dense-2.html:131 -	20	132	2	86.30718954248373	2.4313725490196063
obstacle-50-dense-2.html:131 -	20	133	2	59.27810650887576	26.230769230769234
obstacle-50-dense-2.html:131 -	20	134	2	137.07619047619048	93.14285714285718
obstacle-50-dense-2.html:131 -	20	135	2	7.471502590673573	50.901554404145074
obstacle-50-dense-2.html:131 -	20	136	2	120.65500000000003	105.66000000000003
obstacle-50-dense-2.html:131 -	20	137	2	57.90322580645163	114.23118279569891
obstacle-50-dense-2.html:131 -	20	138	2	106.7741935483871	56.070967741935476
obstacle-50-dense-2.html:131 -	20	139	2	137.53465346534657	56.23762376237625
obstacle-50-dense-2.html:131 -	20	140	2	56.02072538860104	130.92746113989642
obstacle-50-dense-2.html:131 -	20	141	2	145.00943396226415	87.4245283018868
obstacle-50-dense-2.html:131 -	20	142	2	14.533333333333335	84.40952380952383
obstacle-50-dense-2.html:131 -	20	143	2	9.943396226415095	78.47169811320758
obstacle-50-dense-2.html:131 -	20	144	2	40.27322404371586	30.868852459016384
obstacle-50-dense-2.html:131 -	20	145	2	58.02824858757064	40.175141242937855
obstacle-50-dense-2.html:131 -	20	146	2	73.71505376344088	122.54838709677416
obstacle-50-dense-2.html:131 -	20	147	2	102.84076433121018	23.43312101910828
obstacle-50-dense-2.html:131 -	20	148	2	100.81081081081076	88.18243243243249
obstacle-50-dense-2.html:131 -	20	149	2	87.55633802816902	16.084507042253517
obstacle-50-dense-2.html:131 -	20	150	2	11.97524752475247	107.14851485148515
obstacle-50-dense-2.html:131 -	30	101	2	84.09743589743589	71.81025641025633
obstacle-50-dense-2.html:131 -	30	102	2	149.48	135.585
obstacle-50-dense-2.html:131 -	30	103	2	73.19672131147537	73.50819672131142
obstacle-50-dense-2.html:131 -	30	104	2	24.035000000000007	41.155000000000015
obstacle-50-dense-2.html:131 -	30	105	2	11.876344086021495	33.26881720430108
obstacle-50-dense-2.html:131 -	30	106	2	103.39267015706804	9.769633507853404
obstacle-50-dense-2.html:131 -	30	107	2	69.29591836734693	8.030612244897961
obstacle-50-dense-2.html:131 -	30	108	2	135.9451219512195	74.46341463414635
obstacle-50-dense-2.html:131 -	30	109	2	88.03125	134.6041666666667
obstacle-50-dense-2.html:131 -	30	110	2	131.84374999999994	63.72500000000001
obstacle-50-dense-2.html:131 -	30	111	2	108.23589743589743	115.60512820512822
obstacle-50-dense-2.html:131 -	30	112	2	120.12820512820511	39.36923076923076
obstacle-50-dense-2.html:131 -	30	113	2	122.41206030150754	146.91959798994975
obstacle-50-dense-2.html:131 -	30	114	2	127.09595959595958	124.72222222222226
obstacle-50-dense-2.html:131 -	30	115	2	141.54335260115607	44.578034682080904
obstacle-50-dense-2.html:131 -	30	116	2	53.46268656716417	15.457711442786069
obstacle-50-dense-2.html:131 -	30	117	2	71.57788944723619	56.130653266331684
obstacle-50-dense-2.html:131 -	30	118	2	43.58415841584162	48.14851485148513
obstacle-50-dense-2.html:131 -	30	119	2	90.41919191919192	118.00000000000004
obstacle-50-dense-2.html:131 -	30	121	2	13.839285714285712	92.60119047619048
obstacle-50-dense-2.html:131 -	30	122	2	107.09625668449198	141.54545454545448
obstacle-50-dense-2.html:131 -	30	123	2	40.54950495049506	125.75742574257418
obstacle-50-dense-2.html:131 -	30	124	2	41.169154228855746	149.99502487562188
obstacle-50-dense-2.html:131 -	30	125	2	109.29629629629626	130.3703703703704
obstacle-50-dense-2.html:131 -	30	126	2	148.39378238341968	23.668393782383415
obstacle-50-dense-2.html:131 -	30	127	2	77.57711442786072	105.76119402985074
obstacle-50-dense-2.html:131 -	30	128	2	119.8983957219251	55.50802139037435
obstacle-50-dense-2.html:131 -	30	129	2	55.60913705583755	86.8223350253807
obstacle-50-dense-2.html:131 -	30	130	2	26.424999999999986	136.165
obstacle-50-dense-2.html:131 -	30	131	2	68.72580645161291	88.13440860215053
obstacle-50-dense-2.html:131 -	30	132	2	84.86315789473684	3.6368421052631565
obstacle-50-dense-2.html:131 -	30	133	2	62.33333333333334	26.213930348258714
obstacle-50-dense-2.html:131 -	30	134	2	135.24293785310726	96.86440677966098
obstacle-50-dense-2.html:131 -	30	135	2	9.274611398963733	52.87046632124356
obstacle-50-dense-2.html:131 -	30	136	2	120.5273631840796	104.80099502487566
