obstacle-1-sparse.html:30 -	time	id	type	x	y
obstacle-1-sparse.html:131 -	0	50	2	74.5	75.5
obstacle-1-sparse.html:131 -	10	50	2	75.83333333333334	78.95833333333333
obstacle-1-sparse.html:131 -	20	50	2	77.47783251231525	80.84236453201969
obstacle-1-sparse.html:131 -	30	50	2	77.92079207920796	81.00495049504947
obstacle-1-sparse.html:131 -	40	50	2	77.33663366336637	81.5742574257425
obstacle-1-sparse.html:131 -	50	50	2	76.50248756218907	82.66169154228854
obstacle-1-sparse.html:131 -	60	50	2	75.08457711442792	83.38805970149257
obstacle-1-sparse.html:131 -	70	50	2	74.39999999999995	83.89500000000004
obstacle-1-sparse.html:131 -	80	50	2	73.68656716417915	84.16417910447755
obstacle-1-sparse.html:131 -	90	50	2	72.59203980099504	84.62189054726367
obstacle-1-sparse.html:131 -	100	50	2	71.52500000000002	85.22500000000002
obstacle-1-sparse.html:131 -	110	50	2	71.47263681592034	85.58208955223883
obstacle-1-sparse.html:131 -	120	50	2	71.22000000000003	86.02
obstacle-1-sparse.html:131 -	130	50	2	71.00497512437813	86.37810945273635
obstacle-1-sparse.html:131 -	140	50	2	70.75621890547265	86.99502487562191
obstacle-1-sparse.html:131 -	150	50	2	70.04975124378112	87.68656716417912
obstacle-1-sparse.html:131 -	160	50	2	70.05970149253733	88.03482587064678
obstacle-1-sparse.html:131 -	170	50	2	70.00995024875616	87.99004975124379
obstacle-1-sparse.html:131 -	180	50	2	69.9601990049751	87.78109452736312
obstacle-1-sparse.html:131 -	190	50	2	69.9253731343283	87.67661691542284
obstacle-1-sparse.html:131 -	200	50	2	70.39999999999998	87.56999999999996
obstacle-1-sparse.html:131 -	210	50	2	70.35323383084577	87.57711442786065
obstacle-1-sparse.html:131 -	220	50	2	69.93034825870647	87.61194029850752
obstacle-1-sparse.html:131 -	230	50	2	69.7960199004975	87.54726368159204
obstacle-1-sparse.html:131 -	240	50	2	69.63500000000005	87.63000000000002
obstacle-1-sparse.html:131 -	250	50	2	69.48258706467662	88.05970149253736
obstacle-1-sparse.html:131 -	260	50	2	68.34328358208947	87.46766169154228
obstacle-1-sparse.html:131 -	270	50	2	67.78109452736314	86.19900497512441
obstacle-1-sparse.html:131 -	280	50	2	67.40298507462691	84.3830845771144
obstacle-1-sparse.html:131 -	290	50	2	66.98507462686565	82.90547263681589
obstacle-1-sparse.html:131 -	300	50	2	67.27363184079606	82.1542288557214
obstacle-1-sparse.html:131 -	310	50	2	67.59203980099501	81.92537313432837
obstacle-1-sparse.html:131 -	320	50	2	67.64179104477614	82.134328358209
obstacle-1-sparse.html:131 -	330	50	2	68.044776119403	82.67661691542287
obstacle-1-sparse.html:131 -	340	50	2	68.27499999999998	83.2049999999999
obstacle-1-sparse.html:131 -	350	50	2	67.89552238805969	83.84577114427863
obstacle-1-sparse.html:131 -	360	50	2	66.96517412935326	84.2786069651742
obstacle-1-sparse.html:131 -	370	50	2	65.97512437810947	84.50248756218906
obstacle-1-sparse.html:131 -	380	50	2	64.53731343283582	84.92537313432834
obstacle-1-sparse.html:131 -	390	50	2	63.18811881188122	85.05940594059408
obstacle-1-sparse.html:131 -	400	50	2	62.60199004975127	85.37810945273631
obstacle-1-sparse.html:131 -	410	50	2	62.40000000000002	85.63000000000002
obstacle-1-sparse.html:131 -	420	50	2	62.686567164179124	85.53233830845768
obstacle-1-sparse.html:131 -	430	50	2	63.12000000000002	85.36999999999996
obstacle-1-sparse.html:131 -	440	50	2	63.21890547263683	84.61691542288554
obstacle-1-sparse.html:131 -	450	50	2	63.1930693069307	83.52475247524752
obstacle-1-sparse.html:131 -	460	50	2	62.539603960396065	81.84653465346537
obstacle-1-sparse.html:131 -	470	50	2	61.663366336633665	80.16831683168317
obstacle-1-sparse.html:131 -	480	50	2	60.850746268656735	79.35323383084577
obstacle-1-sparse.html:131 -	490	50	2	60.009950248756205	78.12437810945276
obstacle-1-sparse.html:131 -	500	50	2	59.63499999999999	78.36
obstacle-1-sparse.html:131 -	510	50	2	59.29353233830847	78.2338308457712
obstacle-1-sparse.html:131 -	520	50	2	58.93999999999998	78.615
obstacle-1-sparse.html:131 -	530	50	2	58.33333333333334	79.31343283582093
obstacle-1-sparse.html:131 -	540	50	2	57.525000000000006	81.24000000000007
obstacle-1-sparse.html:131 -	550	50	2	56.62871287128713	83.14356435643565
