obstacle-50-dense.html:30 -	time	id	type	x	y
obstacle-50-dense.html:131 -	0	101	2	75	75
obstacle-50-dense.html:131 -	0	102	2	149.375	133
obstacle-50-dense.html:131 -	0	103	2	73.5	76.5
obstacle-50-dense.html:131 -	0	104	2	16.6	37.8
obstacle-50-dense.html:131 -	0	105	2	6.5	26
obstacle-50-dense.html:131 -	0	106	2	102	7
obstacle-50-dense.html:131 -	0	107	2	73	11
obstacle-50-dense.html:131 -	0	108	2	134	68
obstacle-50-dense.html:131 -	0	109	2	96	138.66666666666666
obstacle-50-dense.html:131 -	0	110	2	133.5	65.5
obstacle-50-dense.html:131 -	0	111	2	108	115.5
obstacle-50-dense.html:131 -	0	112	2	125	45.25
obstacle-50-dense.html:131 -	0	113	2	124	144
obstacle-50-dense.html:131 -	0	114	2	125	131.33333333333334
obstacle-50-dense.html:131 -	0	115	2	143	49
obstacle-50-dense.html:131 -	0	116	2	53.75	21
obstacle-50-dense.html:131 -	0	117	2	72.85714285714286	60.714285714285715
obstacle-50-dense.html:131 -	0	118	2	50.6	47.2
obstacle-50-dense.html:131 -	0	119	2	91.83333333333333	122.5
obstacle-50-dense.html:131 -	0	120	2	146	18
obstacle-50-dense.html:131 -	0	121	2	14	87
obstacle-50-dense.html:131 -	0	122	2	110.5	144.5
obstacle-50-dense.html:131 -	0	123	2	43	128
obstacle-50-dense.html:131 -	0	124	2	44.5	2
obstacle-50-dense.html:131 -	0	125	2	112	132
obstacle-50-dense.html:131 -	0	126	2	2	19
obstacle-50-dense.html:131 -	0	127	2	77.5	108
obstacle-50-dense.html:131 -	0	128	2	128.5	60.5
obstacle-50-dense.html:131 -	0	129	2	58	85
obstacle-50-dense.html:131 -	0	130	2	31.5	141
obstacle-50-dense.html:131 -	0	131	2	70.75	77
obstacle-50-dense.html:131 -	0	132	2	83.5	0.5
obstacle-50-dense.html:131 -	0	133	2	52	30
obstacle-50-dense.html:131 -	0	134	2	146	95
obstacle-50-dense.html:131 -	0	135	2	5	50
obstacle-50-dense.html:131 -	0	136	2	119	107
obstacle-50-dense.html:131 -	0	137	2	53	115
obstacle-50-dense.html:131 -	0	138	2	112	56
obstacle-50-dense.html:131 -	0	139	2	137	56
obstacle-50-dense.html:131 -	0	140	2	55	126
obstacle-50-dense.html:131 -	0	141	2	144.33333333333334	84.66666666666667
obstacle-50-dense.html:131 -	0	142	2	11.5	84
obstacle-50-dense.html:131 -	0	143	2	6.5	85
obstacle-50-dense.html:131 -	0	144	2	44.6	32.8
obstacle-50-dense.html:131 -	0	145	2	54	39
obstacle-50-dense.html:131 -	0	146	2	72.66666666666667	118.66666666666667
obstacle-50-dense.html:131 -	0	147	2	100	18.666666666666668
obstacle-50-dense.html:131 -	0	148	2	101	86
obstacle-50-dense.html:131 -	0	149	2	85	16
obstacle-50-dense.html:131 -	0	150	2	12.5	108.75
obstacle-50-dense.html:131 -	10	101	2	75.45652173913044	73.69565217391305
obstacle-50-dense.html:131 -	10	102	2	1.042553191489362	136.19148936170205
obstacle-50-dense.html:131 -	10	103	2	72.94871794871794	76.43589743589746
obstacle-50-dense.html:131 -	10	104	2	18.30555555555555	39.44444444444445
obstacle-50-dense.html:131 -	10	105	2	6.942028985507243	25.681159420289855
obstacle-50-dense.html:131 -	10	106	2	101.65384615384616	6.653846153846154
obstacle-50-dense.html:131 -	10	107	2	71.31818181818183	9.945454545454544
obstacle-50-dense.html:131 -	10	108	2	135.48979591836735	68.38775510204081
obstacle-50-dense.html:131 -	10	109	2	95.08800000000001	137.92
obstacle-50-dense.html:131 -	10	110	2	134.3	60.05
obstacle-50-dense.html:131 -	10	111	2	106.1111111111111	117.03030303030306
obstacle-50-dense.html:131 -	10	112	2	124.19417475728153	43.66019417475729
obstacle-50-dense.html:131 -	10	113	2	123.53333333333332	143.90000000000003
obstacle-50-dense.html:131 -	10	114	2	123.55855855855853	131.3423423423424
obstacle-50-dense.html:131 -	10	115	2	140.54545454545453	50.36363636363636
obstacle-50-dense.html:131 -	10	116	2	53.94029850746269	20.94776119402985
