obstacle-1-sparse-2.html:30 -	time	id	type	x	y
obstacle-1-sparse-2.html:131 -	0	50	2	74.5	75.5
obstacle-1-sparse-2.html:131 -	10	50	2	75.83333333333334	78.95833333333333
obstacle-1-sparse-2.html:131 -	20	50	2	77.47783251231525	80.84236453201969
obstacle-1-sparse-2.html:131 -	30	50	2	77.94554455445542	80.31683168316833
obstacle-1-sparse-2.html:131 -	40	50	2	78.1485148514851	80.33663366336637
obstacle-1-sparse-2.html:131 -	50	50	2	78.46534653465348	79.8960396039604
obstacle-1-sparse-2.html:131 -	60	50	2	78.22772277227726	80.34158415841583
obstacle-1-sparse-2.html:131 -	70	50	2	78.00495049504947	81.05940594059409
obstacle-1-sparse-2.html:131 -	80	50	2	77.23762376237622	82.23762376237617
obstacle-1-sparse-2.html:131 -	90	50	2	76.8457711442786	83.30348258706466
obstacle-1-sparse-2.html:131 -	100	50	2	76.9054726368159	83.83582089552247
obstacle-1-sparse-2.html:131 -	110	50	2	76.87064676616919	83.99502487562192
obstacle-1-sparse-2.html:131 -	120	50	2	76.64356435643565	84.13861386138609
obstacle-1-sparse-2.html:131 -	130	50	2	76.65174129353238	84.2189054726368
obstacle-1-sparse-2.html:131 -	140	50	2	76.6218905472637	84.36815920398013
obstacle-1-sparse-2.html:131 -	150	50	2	76.67661691542293	84.44776119402987
obstacle-1-sparse-2.html:131 -	160	50	2	76.81094527363186	84.50746268656715
obstacle-1-sparse-2.html:131 -	170	50	2	76.81094527363183	84.66666666666669
obstacle-1-sparse-2.html:131 -	180	50	2	76.565	84.98000000000003
obstacle-1-sparse-2.html:131 -	190	50	2	76.80099502487568	85.1592039800995
obstacle-1-sparse-2.html:131 -	200	50	2	77.8109452736318	85.79601990049748
obstacle-1-sparse-2.html:131 -	210	50	2	80.10891089108908	86.64851485148512
obstacle-1-sparse-2.html:131 -	220	50	2	82.67326732673267	87.3861386138614
obstacle-1-sparse-2.html:131 -	230	50	2	85.07920792079207	88.99504950495053
obstacle-1-sparse-2.html:131 -	240	50	2	86.76354679802954	89.1379310344827
obstacle-1-sparse-2.html:131 -	250	50	2	88.78109452736321	89.26865671641792
obstacle-1-sparse-2.html:131 -	260	50	2	89.81094527363187	89.13930348258704
obstacle-1-sparse-2.html:131 -	270	50	2	90.95544554455446	89.31683168316832
obstacle-1-sparse-2.html:131 -	280	50	2	91.81188118811879	88.93564356435647
obstacle-1-sparse-2.html:131 -	290	50	2	92.27363184079604	89.0348258706468
obstacle-1-sparse-2.html:131 -	300	50	2	93.20398009950253	88.7761194029851
obstacle-1-sparse-2.html:131 -	310	50	2	93.97524752475252	88.58415841584154
obstacle-1-sparse-2.html:131 -	320	50	2	95.02970297029707	87.70792079207922
obstacle-1-sparse-2.html:131 -	330	50	2	96.12871287128715	87.24752475247526
obstacle-1-sparse-2.html:131 -	340	50	2	97.6169154228856	86.42786069651736
obstacle-1-sparse-2.html:131 -	350	50	2	99.9455445544554	85.92574257425746
obstacle-1-sparse-2.html:131 -	360	50	2	101.71428571428572	85.52709359605915
obstacle-1-sparse-2.html:131 -	370	50	2	103.82673267326726	84.9653465346535
obstacle-1-sparse-2.html:131 -	380	50	2	105.09405940594053	84.40099009900989
obstacle-1-sparse-2.html:131 -	390	50	2	106.3762376237624	83.99009900990104
obstacle-1-sparse-2.html:131 -	400	50	2	107.16748768472897	83.36453201970446
obstacle-1-sparse-2.html:131 -	410	50	2	107.89108910891088	83.0693069306931
obstacle-1-sparse-2.html:131 -	420	50	2	108.93564356435641	83.00495049504956
obstacle-1-sparse-2.html:131 -	430	50	2	109.54726368159203	83.08457711442786
obstacle-1-sparse-2.html:131 -	440	50	2	110.14427860696513	83.1393034825871
obstacle-1-sparse-2.html:131 -	450	50	2	110.62871287128716	83.30198019801978
obstacle-1-sparse-2.html:131 -	460	50	2	110.71782178217825	83.27227722772281
obstacle-1-sparse-2.html:131 -	470	50	2	111.10447761194027	83.54228855721398
obstacle-1-sparse-2.html:131 -	480	50	2	111.8258706467661	83.91542288557211
obstacle-1-sparse-2.html:131 -	490	50	2	112.89552238805969	84.18905472636818
obstacle-1-sparse-2.html:131 -	500	50	2	114.55721393034824	84.51741293532339
obstacle-1-sparse-2.html:131 -	510	50	2	116.84158415841583	84.46039603960394
obstacle-1-sparse-2.html:131 -	520	50	2	118.6782178217822	83.60396039603961
obstacle-1-sparse-2.html:131 -	530	50	2	119.97029702970303	83.03960396039602
obstacle-1-sparse-2.html:131 -	540	50	2	121.34825870646765	83.09950248756213
obstacle-1-sparse-2.html:131 -	550	50	2	122.37999999999998	82.93000000000002
obstacle-1-sparse-2.html:131 -	560	50	2	123.39603960396033	82.97029702970299
obstacle-1-sparse-2.html:131 -	570	50	2	124.31840796019898	83.10447761194033
obstacle-1-sparse-2.html:131 -	580	50	2	125.47263681592038	83.53731343283579
obstacle-1-sparse-2.html:131 -	590	50	2	127.05940594059405	84.11386138613865
obstacle-1-sparse-2.html:131 -	600	50	2	128.86633663366334	84.94554455445545
obstacle-1-sparse-2.html:131 -	610	50	2	130.3712871287128	85.54950495049506
obstacle-1-sparse-2.html:131 -	620	50	2	131.81188118811875	86.30198019801979
obstacle-1-sparse-2.html:131 -	630	50	2	132.65174129353224	87.06467661691539
obstacle-1-sparse-2.html:131 -	640	50	2	133.49499999999998	88.35999999999994
obstacle-1-sparse-2.html:131 -	650	50	2	134.47263681592034	88.52736318407962
obstacle-1-sparse-2.html:131 -	660	50	2	135.21287128712873	89.25247524752476
obstacle-1-sparse-2.html:131 -	670	50	2	136.1980198019802	89.54950495049505
obstacle-1-sparse-2.html:131 -	680	50	2	137.0995024875621	89.2487562189055
obstacle-1-sparse-2.html:131 -	690	50	2	138.08457711442782	88.86069651741296
obstacle-1-sparse-2.html:131 -	700	50	2	139	88.5049504950495
obstacle-1-sparse-2.html:131 -	710	50	2	139.89	88.09000000000002
obstacle-1-sparse-2.html:131 -	720	50	2	141.16336633663366	87.41584158415846
obstacle-1-sparse-2.html:131 -	730	50	2	142.47761194029852	86.55223880597013
obstacle-1-sparse-2.html:131 -	740	50	2	143.86567164179104	86.09950248756213
obstacle-1-sparse-2.html:131 -	750	50	2	144.84	85.69500000000002
obstacle-1-sparse-2.html:131 -	760	50	2	145.90594059405942	85.48019801980193
obstacle-1-sparse-2.html:131 -	770	50	2	146.89054726368158	85.43781094527367
obstacle-1-sparse-2.html:131 -	780	50	2	148.105	85.47000000000003
obstacle-1-sparse-2.html:131 -	790	50	2	149.66831683168317	85.68811881188121
obstacle-1-sparse-2.html:131 -	800	50	2	1.7425742574257432	85.77227722772277
obstacle-1-sparse-2.html:131 -	810	50	2	3.2587064676616944	85.60199004975124
obstacle-1-sparse-2.html:131 -	820	50	2	4.856435643564355	85.01980198019801
obstacle-1-sparse-2.html:131 -	830	50	2	6.559405940594058	84.16831683168319
obstacle-1-sparse-2.html:131 -	840	50	2	8.455445544554456	84.47029702970299
obstacle-1-sparse-2.html:131 -	850	50	2	10.049504950495049	84.50990099009901
obstacle-1-sparse-2.html:131 -	860	50	2	11.133004926108374	85.18226600985219
obstacle-1-sparse-2.html:131 -	870	50	2	12.30348258706468	84.95522388059696
obstacle-1-sparse-2.html:131 -	880	50	2	13.773399014778324	85.25615763546796
obstacle-1-sparse-2.html:131 -	890	50	2	15.152709359605907	85.49261083743845
obstacle-1-sparse-2.html:131 -	900	50	2	15.955223880597012	85.40298507462688
obstacle-1-sparse-2.html:131 -	910	50	2	17.054455445544548	85.3168316831683
obstacle-1-sparse-2.html:131 -	920	50	2	18.104477611940307	85.52736318407962
obstacle-1-sparse-2.html:131 -	930	50	2	19.308457711442763	85.0547263681592
obstacle-1-sparse-2.html:131 -	940	50	2	20.472636815920385	84.75124378109446
obstacle-1-sparse-2.html:131 -	950	50	2	21.373134328358205	83.91542288557218
obstacle-1-sparse-2.html:131 -	960	50	2	22.741293532338297	83.83582089552242
obstacle-1-sparse-2.html:131 -	970	50	2	23.999999999999993	84.14925373134326
obstacle-1-sparse-2.html:131 -	980	50	2	25.58620689655172	84.18719211822663
obstacle-1-sparse-2.html:131 -	990	50	2	27.03960396039603	84.07425742574257
